"ssn","zip_code","fico","num_late","past_def","num_bankruptcy"
187176995,61349,834,1,0,0
187413803,23710,713,0,0,0
187488436,24486,747,0,0,0
187842415,67781,346,1,1,2
188182839,29144,476,1,3,1
188266296,22637,713,0,0,0
188481915,75493,585,0,0,0
189015694,87304,651,2,0,0
189571620,31805,700,0,0,0
189609362,98308,618,0,0,0
189970978,48612,826,3,0,0
190488581,35972,893,0,0,0
190659577,78717,759,0,0,0
190740460,32127,568,0,0,0
191293373,54351,876,0,0,0
191741998,85867,881,0,0,0
191890419,16541,893,0,0,0
192333286,38055,538,2,2,1
192704936,90848,561,2,0,0
192742619,61639,693,2,0,0
193434570,62107,554,1,0,0
193790884,12510,695,1,0,0
193868961,60097,817,0,0,0
193874060,65897,731,2,0,0
194097036,21547,600,0,0,0
194169849,58214,690,1,0,0
194301672,27002,754,2,0,0
194415405,67599,462,1,1,1
194886668,97908,860,1,0,0
195002280,67635,621,1,0,0
195352304,65803,797,0,0,0
195549825,59067,643,0,0,0
196168047,22332,850,0,0,0
196318030,67925,780,1,0,0
196493668,66362,573,0,0,0
196583705,76970,717,0,0,0
196620798,87910,707,0,0,0
196700721,92926,713,0,0,0
197064536,83786,651,0,0,0
197487530,55527,849,0,0,0
197546655,39280,752,0,0,0
197696384,82709,535,3,0,0
197774181,52039,677,1,0,0
197786156,48497,638,1,1,1
198189246,50564,745,0,0,0
198192346,71857,785,1,0,0
198393428,22667,722,1,0,0
198431842,49148,785,1,0,0
198442159,90587,673,1,0,0
198667142,18643,819,0,0,0
198740277,45922,644,3,0,0
198801570,72973,820,1,0,0
198860435,75834,620,0,0,0
199655001,27188,607,2,0,0
199700663,29379,649,0,0,0
199800318,43662,709,5,0,0
199970065,89590,701,0,0,0
200213611,21073,558,3,0,0
200421549,61507,773,2,0,0
200494403,26064,805,1,0,0
200592126,63426,565,1,0,0
201499041,95818,765,0,0,0
201570429,23360,675,1,0,0
202109192,74636,862,0,0,0
202696836,33632,588,0,0,0
202739485,27801,661,5,0,0
202914771,60497,760,0,0,0
204129706,52533,804,0,0,0
204217935,17868,830,0,0,0
204536461,33892,590,1,0,0
205353880,66836,723,0,0,0
205614188,47228,820,0,0,0
206023565,69179,758,0,0,0
206127195,21651,620,1,0,0
206695603,36605,441,2,1,1
206698170,69349,816,0,0,0
207269568,70984,564,1,0,0
207485942,68767,712,0,0,0
207546192,85022,884,0,0,0
207693494,82740,307,1,2,3
207967437,87056,825,0,0,0
207983821,62365,653,0,0,0
208063972,34205,881,0,0,0
208260072,72325,873,0,0,0
208274724,82528,849,0,0,0
208281824,55485,727,0,0,0
208325500,39982,787,0,0,0
208383548,31630,865,0,0,0
209194424,23859,610,2,0,0
209564461,97538,615,0,0,0
209794021,80297,791,1,0,0
209870741,57280,774,0,0,0
210389379,19703,654,0,0,0
210637660,25748,642,3,2,1
210846759,43298,847,1,0,0
210882711,28771,815,0,0,0
210882962,32908,583,1,1,1
211189729,42197,421,1,1,2
211506893,97349,654,0,0,0
212323167,10468,811,0,0,0
212549700,21903,648,0,0,0
212878467,86484,865,0,0,0
213264023,54961,553,0,0,0
213309150,82789,605,1,0,0
213335380,66471,764,2,0,0
213426579,14195,780,0,0,0
214428752,39068,726,2,0,0
214613025,45436,708,1,0,0
214741051,69634,655,1,0,0
214808506,13428,688,0,0,0
215523006,22583,706,0,0,0
215849031,95662,657,0,0,0
216318614,80616,608,0,0,0
216378427,72295,680,0,0,0
216406879,75135,358,3,3,1
216446069,29769,785,3,0,0
216467065,58660,593,0,0,0
216837074,46997,507,5,0,0
217035649,67828,655,3,0,0
217131306,87998,809,0,0,0
217202565,23098,893,0,0,0
217346843,40824,802,0,0,0
217945542,97436,586,0,0,0
217949577,40651,638,0,0,0
218304501,34217,646,1,0,0
218630224,41493,552,0,0,0
218685982,90102,797,0,0,0
218718616,62959,795,0,0,0
218809437,42808,620,0,0,0
218873448,55975,860,0,0,0
218907536,59231,683,0,0,0
219081462,65658,541,2,0,0
219688341,97602,722,0,0,0
219869613,92161,840,0,0,0
219907004,70635,856,0,0,0
220469543,59464,706,0,0,0
220948180,38167,672,0,0,0
221028401,48830,631,0,0,0
221055158,96726,634,1,0,0
221238559,74579,581,1,0,0
221406480,51513,836,0,0,0
221707724,98093,494,1,1,1
221867965,62890,827,3,0,0
221900265,63331,559,4,1,1
222371366,48606,817,0,0,0
222413714,46580,869,0,0,0
222473702,95272,550,1,0,0
222554309,10374,580,0,0,0
222791578,56694,700,0,0,0
223235225,22553,788,0,0,0
223636737,92219,677,0,0,0
223882623,25620,613,1,0,0
224509776,21207,575,0,0,0
224962226,84913,619,0,0,0
224993573,90235,627,0,0,0
225169479,15809,582,0,0,0
225328769,64787,723,0,0,0
225489673,78598,568,2,1,1
225575924,70276,893,0,0,0
225835897,27521,738,0,0,0
226007997,45717,843,0,0,0
226418759,15933,697,0,0,0
226423543,69483,823,1,0,0
226584579,65527,728,2,1,1
226965194,59154,867,1,0,0
227230427,18266,731,1,0,0
227366325,68172,626,0,0,0
227528867,95233,849,2,0,0
227587840,95896,670,0,0,0
228827511,94080,792,3,0,0
228841450,13214,686,2,0,0
229161010,46308,599,0,0,0
229380183,73980,571,0,0,0
229425220,18100,837,1,0,0
230164657,10676,838,0,0,0
230233535,76991,699,0,0,0
230355608,75277,804,3,0,0
230804412,76474,736,0,0,0
231498668,77387,888,0,0,0
231631174,87504,720,0,0,0
231643920,97468,846,3,0,0
231743842,96243,856,2,0,0
231756628,50135,668,1,0,0
232127635,64402,784,1,0,0
232350178,87394,585,1,1,1
232952332,60704,588,4,0,0
233182455,66739,726,4,0,0
233354730,19042,721,1,0,0
233458278,97721,654,1,0,0
233775374,80353,848,0,0,0
234079494,24809,670,1,1,1
234121464,79973,758,0,0,0
234274627,39551,477,2,1,3
234501135,32813,607,0,0,0
234570470,55788,652,0,0,0
234691539,31003,779,2,0,0
235419996,64619,666,1,0,0
235578496,86470,662,0,0,0
235588772,70406,598,0,0,0
235689438,30245,715,1,0,0
235915103,16211,610,2,0,0
236021421,66210,555,0,0,0
236586903,64388,668,0,0,0
236717522,59637,562,0,0,0
236760192,57997,598,1,1,1
237025978,85510,568,0,0,0
237218430,43326,560,1,0,0
237451048,29832,859,0,0,0
237645382,87706,784,1,0,0
238283288,35399,572,2,0,0
238871300,54429,652,0,0,0
239285057,51460,828,2,0,0
239407275,99759,596,0,0,0
239416831,21253,616,0,0,0
239518070,20409,565,0,0,0
239856077,27199,781,1,0,0
240054993,35808,686,0,0,0
240443678,62827,617,1,0,0
240681488,31986,565,1,1,1
240906470,91015,623,0,0,0
241107634,86918,468,5,1,1
241121406,34323,681,1,0,0
241272169,34376,389,2,1,2
241343267,23444,574,0,0,0
241413301,83727,885,0,0,0
241753457,88065,856,0,0,0
242387152,89285,641,0,0,0
242676850,29886,888,0,0,0
243343399,36300,658,0,0,0
243355001,71593,632,1,0,0
243487202,20708,812,1,0,0
243870412,46530,816,1,0,0
244069355,91280,340,4,1,3
244084919,99562,796,0,0,0
244335432,41934,717,0,0,0
244461276,74482,698,0,0,0
245077617,94234,591,0,0,0
245118847,54101,602,3,0,0
245268245,86472,893,0,0,0
245568855,58171,736,0,0,0
246016893,65521,694,0,0,0
246709893,63615,848,0,0,0
247028793,85102,647,2,0,0
247333187,19711,682,0,0,0
247549205,11579,853,0,0,0
247838721,74910,616,1,0,0
247959638,54578,495,1,1,1
248435430,52836,703,1,0,0
248474165,74889,500,3,1,1
249438758,16862,624,2,0,0
249707898,75710,618,0,0,0
249809481,65757,716,1,0,0
249943332,15116,822,0,0,0
250041083,69497,557,0,0,0
250234120,55142,788,0,0,0
250569792,56078,890,0,0,0
250776820,34793,563,0,0,0
251181637,52418,675,0,0,0
251349345,48254,606,0,0,0
252329475,14204,714,0,0,0
252461280,97211,851,4,0,0
252686679,15299,378,4,1,1
252765744,56133,589,0,0,0
253638235,48950,738,0,0,0
253879199,48015,760,0,0,0
254081847,12401,576,1,0,0
254090883,74484,738,1,0,0
254713572,30525,772,3,0,0
254853749,49970,745,0,0,0
254996992,82231,817,1,0,0
255583466,20574,788,0,0,0
256270055,28652,797,3,0,0
256612820,53996,621,1,0,0
256987032,24786,638,1,1,1
257254980,98833,562,0,0,0
257469161,96988,440,2,1,1
257646473,70955,754,0,0,0
258393075,86347,838,0,0,0
258654048,83190,662,0,0,0
258935285,72960,749,4,0,0
260076011,98372,651,0,0,0
260358051,56956,705,1,0,0
260425114,85471,684,0,0,0
260549528,71010,711,1,0,0
260879143,35986,571,1,0,0
261075318,28371,795,0,0,0
261127902,69877,646,2,0,0
261468965,22934,893,0,0,0
262383789,66460,866,0,0,0
262417783,86884,670,0,0,0
263289648,98060,881,0,0,0
264327278,66588,610,1,0,0
264338738,71130,637,0,0,0
264808059,48251,547,1,0,0
265030669,70850,757,0,0,0
265286491,93693,689,0,0,0
265304072,72134,861,0,0,0
265564381,92767,829,0,0,0
265588645,16416,777,2,0,0
265737577,63924,598,0,0,0
265802780,81242,810,0,0,0
266995127,50004,787,0,0,0
267282004,93010,689,0,0,0
267282965,95990,881,0,0,0
267348998,20680,765,3,0,0
269714839,27595,364,1,1,2
269775737,41675,629,0,0,0
270279874,48702,572,1,0,0
270398081,24754,560,0,0,0
270434354,63096,761,3,0,0
270498329,20175,571,0,0,0
270517782,50645,722,1,1,1
270524683,27754,704,1,0,0
270843817,89798,835,2,0,0
270903515,43636,797,0,0,0
270921005,56928,616,3,0,0
271222222,51033,868,0,0,0
271246555,89336,363,2,1,3
271410207,25333,603,1,1,2
272712905,69812,665,0,0,0
273201782,30770,750,3,0,0
273270724,59574,652,0,0,0
273937933,82121,632,0,0,0
274444906,44571,618,0,0,0
274513209,50075,720,0,0,0
274583133,64400,697,0,0,0
274679337,92787,663,1,0,0
275454091,69606,787,1,0,0
275971153,79048,853,0,0,0
276337224,99038,773,0,0,0
276738516,19178,787,2,0,0
276968701,90176,589,1,0,0
277309963,75396,804,3,0,0
277440479,54916,537,2,0,0
277619259,91897,873,0,0,0
278006493,27748,594,0,0,0
278725622,71110,689,0,0,0
279262341,80692,742,0,0,0
279525861,17114,795,1,0,0
279648238,44473,856,1,0,0
280293698,48020,740,0,0,0
280788733,40241,544,5,0,0
280854829,68512,700,2,1,1
280897584,10242,760,0,0,0
281017108,30556,760,0,0,0
281196944,34399,813,1,0,0
281430526,50001,629,0,0,0
281754413,90495,421,1,1,2
282097236,19764,801,0,0,0
282097507,24651,744,0,0,0
282642254,17550,681,0,0,0
282902858,29187,780,0,0,0
283266461,95042,593,0,0,0
283278212,66010,557,1,0,0
283779781,84356,818,0,0,0
284330849,80358,646,0,0,0
284600251,77263,606,0,0,0
285178350,71351,838,1,0,0
285318025,89027,737,4,0,0
286239268,66101,667,1,0,0
286526073,50235,854,0,0,0
286972870,61914,692,2,0,0
287205552,29209,588,0,0,0
287870912,63734,551,4,2,2
288282041,44329,856,0,0,0
288550071,61530,645,5,0,0
288986134,46429,636,0,0,0
289483400,28890,851,0,0,0
289650871,37807,805,1,0,0
289694650,63716,709,0,0,0
289852853,65037,782,0,0,0
290002726,97565,640,1,0,0
290724470,80597,577,0,0,0
290804150,51430,830,0,0,0
290992320,24352,728,1,0,0
291206621,55686,645,0,0,0
291483836,26361,612,0,0,0
292306224,82262,791,0,0,0
292477727,84558,767,1,0,0
292731071,74483,655,1,0,0
292837191,43985,707,2,0,0
293546147,78425,577,0,0,0
293686608,77924,673,0,0,0
294174781,81471,731,0,0,0
294400727,92173,792,1,0,0
294516727,27730,590,0,0,0
295003041,78802,591,0,0,0
295169641,81896,519,4,1,1
295554770,32822,768,3,0,0
295618786,10984,609,0,0,0
296455934,12552,618,3,0,0
296922778,75624,786,2,0,0
297034862,91985,755,0,0,0
297650999,47651,746,1,0,0
297813695,96887,713,4,0,0
298048676,59482,635,5,0,0
298854050,88011,556,0,0,0
299116671,53342,554,3,0,0
299697288,23175,720,1,0,0
299751002,95835,421,2,1,1
299754523,55082,719,0,0,0
301026692,64709,678,2,0,0
301191451,56790,726,0,0,0
301529019,75591,363,5,5,1
301655188,18716,699,0,0,0
301945784,48281,498,1,1,1
302294966,61859,702,0,0,0
303084266,61910,670,2,0,0
303236833,43294,512,4,0,0
303321717,81225,708,0,0,0
303333585,46267,659,0,0,0
304083213,60366,811,1,0,0
305673761,50556,786,0,0,0
305801017,90595,652,0,0,0
305904449,84550,599,2,0,0
306108864,94113,584,1,0,0
306577187,89233,831,1,0,0
307893899,86741,820,2,0,0
307985466,56087,582,0,0,0
308071256,26908,406,1,1,1
308430885,28100,572,0,0,0
308580670,45022,675,2,0,0
308878069,89583,589,0,0,0
309910327,23014,674,0,0,0
309967155,43731,566,1,1,1
310000333,43589,679,0,0,0
310468104,63444,585,0,0,0
310598486,54309,307,1,1,3
310747964,75352,659,0,0,0
310908527,76562,791,0,0,0
311090936,29444,307,2,1,2
311268687,64266,856,1,0,0
311363703,36397,732,0,0,0
311839441,69702,567,1,0,0
311959710,91682,612,0,0,0
312207153,59192,685,4,1,1
312282824,14322,611,0,0,0
312679718,92819,632,3,0,0
312924514,35988,562,5,0,0
313167143,78357,663,0,0,0
313188087,62432,850,0,0,0
313407230,88309,457,1,1,1
313629949,31214,709,2,0,0
314023906,86586,873,1,0,0
314118410,18697,815,3,0,0
314498415,24646,667,0,0,0
314552136,34813,875,0,0,0
314656038,61728,872,0,0,0
315063222,20258,698,2,1,1
315241251,67114,631,1,0,0
315680889,93549,690,0,0,0
315709039,17672,749,0,0,0
315767852,18012,768,0,0,0
315803323,36791,750,1,0,0
316268171,90529,728,0,0,0
316304455,53694,458,5,1,1
316440440,62644,701,0,0,0
316708916,57722,631,0,0,0
316774329,59234,677,0,0,0
316910943,66011,469,2,2,3
318396413,77566,570,0,0,0
318596006,79909,582,2,3,1
319006441,48190,367,1,1,2
319459202,83556,554,2,0,0
319819528,81900,561,0,0,0
319831644,83847,552,2,0,0
319885209,33585,826,0,0,0
320102985,43829,676,1,1,1
320384668,96577,667,0,0,0
320536760,78395,576,0,0,0
321043897,74270,672,0,0,0
321275256,79957,551,1,0,0
322099062,77562,640,0,0,0
323077242,77224,643,0,0,0
323446978,22611,600,0,0,0
324046805,67876,532,3,0,0
324181091,31568,612,5,0,0
324598029,60127,740,4,0,0
325127165,60045,609,0,0,0
325747405,33762,890,1,0,0
325938169,69222,862,2,0,0
326571651,43113,639,0,0,0
326815999,73797,642,0,0,0
327010647,74226,661,1,0,0
327035552,11749,655,0,0,0
327885623,80694,642,0,0,0
328110977,59277,708,1,0,0
328167394,91503,544,1,0,0
328393775,50568,764,1,0,0
328440665,24250,711,0,0,0
328708432,59096,893,0,0,0
328748177,65496,885,1,0,0
328828552,39476,705,0,0,0
329619322,12952,722,0,0,0
330038450,45513,778,0,0,0
330081650,92168,771,0,0,0
330167791,29341,882,0,0,0
330292904,70043,662,1,1,1
330332004,22418,617,2,0,0
331022543,94289,787,0,0,0
331299555,23199,841,0,0,0
332275425,92829,782,0,0,0
332324467,31017,666,0,0,0
333207672,90762,697,0,0,0
333494220,63521,800,0,0,0
333496976,80011,623,2,1,1
333688424,17327,532,1,2,2
334608677,50944,893,0,0,0
334807615,40081,307,2,1,3
334844153,27960,676,0,0,0
335049871,95811,552,1,0,0
335171056,80265,583,1,0,0
335477623,65848,639,1,1,1
336244308,34935,859,0,0,0
336440554,87135,723,1,0,0
336687546,48622,577,0,0,0
336699432,62676,580,2,0,0
337048455,60681,539,3,1,1
337064476,86573,792,0,0,0
337236647,91141,354,1,1,3
337329321,73279,794,0,0,0
337332232,85776,851,0,0,0
337413604,64505,875,0,0,0
337451521,13589,688,0,0,0
337736669,27319,726,0,0,0
337932926,50687,771,1,0,0
338371149,50889,650,2,0,0
339260526,47122,699,0,0,0
340101098,10747,541,4,0,0
340182675,15569,642,5,1,1
340620558,54565,307,1,1,3
340784553,19879,648,3,0,0
340873410,82334,819,0,0,0
341132607,73357,655,0,0,0
341459462,11891,827,0,0,0
341537382,82826,403,2,1,1
341559080,39673,601,3,0,0
341840147,32804,626,3,0,0
342224732,98497,789,0,0,0
343037342,21402,722,1,0,0
343860429,85312,832,1,0,0
344221407,46276,764,2,0,0
344292743,81953,690,0,0,0
344718852,14614,787,0,0,0
345128180,37545,616,1,1,2
346351745,52957,813,2,0,0
346367460,60267,864,0,0,0
346424728,60390,674,1,0,0
346706668,71732,703,3,1,1
346936472,20284,704,0,0,0
347303159,26651,513,5,0,0
347352748,16231,851,0,0,0
348314254,50229,878,0,0,0
349177503,80632,788,5,0,0
349389028,89785,891,0,0,0
350236966,97901,791,0,0,0
350309265,45921,479,2,1,1
350366519,88872,639,2,1,1
350845994,93788,769,0,0,0
350850226,45579,600,0,0,0
350946718,91214,707,0,0,0
351068693,96065,799,4,0,0
351069552,10111,621,1,0,0
351154605,96138,849,1,0,0
351300695,96062,683,1,0,0
351374421,62248,677,0,0,0
351395801,95629,722,2,1,1
352295412,10205,804,0,0,0
352568372,18430,576,1,3,1
352930678,24833,893,0,0,0
353016299,21591,813,0,0,0
353315174,74024,832,2,0,0
353383817,60189,570,0,0,0
353399323,82971,710,0,0,0
353991153,51921,613,0,0,0
354315647,58256,650,0,0,0
354349609,97968,680,1,0,0
354403739,85756,804,0,0,0
354566982,81062,787,1,0,0
354935393,21685,700,1,0,0
355102121,78325,799,0,0,0
355562603,67716,726,0,0,0
356577950,88055,580,2,1,1
356611737,65485,769,0,0,0
356906620,43725,307,1,2,2
357375043,73929,614,0,0,0
358161067,27753,787,0,0,0
358177582,74278,307,1,3,3
358515455,66950,687,1,0,0
358639723,24336,410,4,3,1
358869495,22228,569,1,0,0
359233792,21339,587,1,0,0
359487493,32247,635,2,0,0
359684874,15082,307,5,1,2
359783988,87991,825,3,0,0
360097445,51315,667,2,0,0
360598973,37864,825,0,0,0
360943171,62184,713,0,0,0
361505685,49603,670,0,0,0
361970891,33484,497,2,1,1
362055134,12192,616,1,1,1
362331363,27948,562,1,1,1
362547577,56249,875,0,0,0
362743382,55557,633,4,0,0
362774188,76804,807,0,0,0
363091346,37813,732,0,0,0
364542595,51700,798,0,0,0
364775647,15012,669,0,0,0
365212903,75095,726,1,0,0
365465284,36344,654,4,0,0
365569994,57085,643,0,0,0
365610095,97244,802,0,0,0
365707964,90434,794,1,0,0
365957614,66805,791,0,0,0
368994599,81305,678,0,0,0
369083869,10933,580,0,0,0
369859269,59107,799,0,0,0
370273143,54834,809,0,0,0
370485773,41102,754,0,0,0
370703001,28134,773,0,0,0
371284100,98701,562,3,0,0
371423494,53500,778,0,0,0
371885648,38691,307,1,1,3
371894659,31536,694,0,0,0
372013989,79837,606,1,0,0
372370864,16338,701,1,0,0
374322709,41464,458,4,1,1
375221526,40716,518,5,0,0
375473514,69521,307,1,3,1
376153824,55395,743,0,0,0
376513694,81847,822,1,0,0
376524743,94244,735,0,0,0
376591087,98099,855,0,0,0
376926905,50129,771,2,0,0
377388074,71705,567,0,0,0
377839757,41237,657,3,1,1
378149577,87848,587,1,1,1
378316589,29523,809,1,0,0
378530431,38735,775,0,0,0
378589251,57456,587,0,0,0
378639040,14150,749,0,0,0
379172866,79944,803,0,0,0
379431027,82295,543,2,0,0
380458532,98118,726,2,0,0
380975270,20924,590,0,0,0
381286283,19745,561,2,1,1
381319223,65987,714,0,0,0
